Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Steps),Custom field (Test level),Custom field (Test level),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
SC04 - Shopping Cart - Customers can update product quantity,N4-40,10272,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:23 PM,05/Jan/23 4:23 PM,05/Jan/23 5:20 PM,05/Jan/23 4:23 PM,,0,ShoppingCart,Customers can update product quantity,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,,N4-4,,,Customers can update product quantity,,,,,0|i001n3:,,N4 Sprint 1,,,,,,,,"1) Click chuột vào giỏ hàng, chọn xem giỏ hàng
2) Nhập số lượng sản phẩm bạn muốn thay đổi",,Unit,Pass,,,Done
SC03 - Shopping Cart - Customers can delete products in the shopping cart,N4-39,10271,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:19 PM,05/Jan/23 4:20 PM,05/Jan/23 5:20 PM,05/Jan/23 4:19 PM,,0,ShoppingCart,Customers can delete products in the shopping cart,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,,N4-4,,,The product has been removed from the cart,,,,,0|i001mv:,,N4 Sprint 1,,,,,,,,"1)Click chuột vào giỏ hàng , chọn xem giỏ hàng
2) Chọn xoá ",,Unit,Pass,,,Done
SC02 - Shopping Cart - Customers can add products to the cart,N4-38,10270,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:15 PM,05/Jan/23 4:21 PM,05/Jan/23 5:20 PM,05/Jan/23 4:21 PM,,0,ShoppingCart,{{Customers can add products to the cart}},,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi ,,,,,,,,,,N4-4,,,Customers can add products to the cart,,,,,0|i001mn:,,,,,,,,,,"1) Click chuột vào sản phẩm 
2) Chọn thêm vào giỏ hàng
3) Click vào cập nhật giỏ hàng
",,Unit,Pass,,,Done
SC01 - Shopping Cart - Customers must be able to see the number of products in the cart,N4-37,10269,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:11 PM,05/Jan/23 4:11 PM,05/Jan/23 5:20 PM,05/Jan/23 4:11 PM,,0,ShoppingCart,Customers must be able to see the number of products in the cart,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Giỏ hàng trống. Chưa có sản phẩm nào trong giỏ hàng,,,,,,,,,,N4-4,,,Giỏ hàng trống,,,,,0|i001mf:,,N4 Sprint 1,,,,,,,,"1) Đăng nhập tài khoản vào web
2) Click chuột vào giỏ hàng ",,Unit,Pass,,,Done
IPF06 - Verify Login - Password is invalid ,N4-36,10268,Bug,In Progress,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,,Quang Duy Trịnh,617f80be20972200717ca06b,Quang Duy Trịnh,617f80be20972200717ca06b,Quang Duy Trịnh,617f80be20972200717ca06b,05/Jan/23 4:09 PM,05/Jan/23 4:15 PM,05/Jan/23 5:20 PM,,,0,LogIn,"if Password is invalid, system  show an error 

Test data

Email: duy123@gmail.com

Mật Khẩu: duy",,Quang Duy Trịnh,617f80be20972200717ca06b,,,,,,,,,,,,,,05/Jan/23 4:15 PM;617f80be20972200717ca06b;login02.png;https://lyquanghuy.atlassian.net/secure/attachment/10170/login02.png,,"System show ""Thông tin đăng nhập không hợp lệ.""",,,,,,,,,,N4-2,,,"System show ""Nhập Mật Khẩu tối thiểu 5 kí tự""",,,,,0|i001m7:,,N4 Sprint 1,,,,,,,,"1. Enter require all field
2. Đăng nhập",,Integration,Fail,,,In Progress
LI05 - Quên mật khẩu - Chúng tôi đã gửi một email với đường dẫn để giúp bạn cập nhật mật khẩu.,N4-35,10267,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:04 PM,05/Jan/23 4:04 PM,05/Jan/23 5:20 PM,05/Jan/23 4:04 PM,,0,,Chúng tôi đã gửi một email với đường dẫn để giúp bạn cập nhật mật khẩu.,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Chúng tôi đã gửi một email với đường dẫn để giúp bạn cập nhật mật khẩu.,,,,,,,,,,N4-7,,,Chúng tôi đã gửi một email với đường dẫn để giúp bạn cập nhật mật khẩu.,,,,,0|i001lz:,,N4 Sprint 1,,,,,,,,"1) Nhập email được dùng để tạo tài khoản
2) Submit",,Unit,Pass,,,Done
LI04 - Quên mật khẩu - Không tìm thấy tài khoản với email vừa nhập ,N4-34,10266,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 4:01 PM,05/Jan/23 4:01 PM,05/Jan/23 5:20 PM,05/Jan/23 4:01 PM,,0,ResetPassword,Không tìm thấy tài khoản với email vừa nhập,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,,N4-7,,,Không tìm thấy tài khoản với email vừa nhập,,,,,0|i001lr:,,N4 Sprint 1,,,,,,,,"1) Nhập địa chỉ email chưa tạo tài khoản
2) Submit",,Unit,Pass,,,Done
IPF05 - Verify Reset Password - Forgot Password Email not exist,N4-33,10265,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Quang Duy Trịnh,617f80be20972200717ca06b,Quang Duy Trịnh,617f80be20972200717ca06b,05/Jan/23 3:55 PM,05/Jan/23 3:56 PM,05/Jan/23 5:20 PM,05/Jan/23 3:56 PM,,0,ResetPassword,"if Email is invalid, system show an error 

test data

Email: qwe@gmail.com",,Quang Duy Trịnh,617f80be20972200717ca06b,,,,,,,,,,,,,,,,"System show ""Không tìm thấy tài khoản nào với email này..""",,,,,,,,,,N4-7,,,"System show ""Không tìm thấy tài khoản nào với email này..""",,,,,0|i001lj:,,N4 Sprint 1,,,,,,,,"1. select Quên Mật Khẩu
2. Enter require in field
3. Gửi",,Integration,Pass,,,Done
IPF04 - Verify Reset Password - Forgot Password Email is invalid ,N4-32,10264,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Quang Duy Trịnh,617f80be20972200717ca06b,Quang Duy Trịnh,617f80be20972200717ca06b,05/Jan/23 3:49 PM,05/Jan/23 3:57 PM,05/Jan/23 5:20 PM,05/Jan/23 3:57 PM,,0,ResetPassword,"if Email is invalid, system show an error 

test data

Email: duy@gmail",,Quang Duy Trịnh,617f80be20972200717ca06b,,,,,,,,,,,,,,,,"System show ""Email không hợp lệ.""",,,,,,,,,,N4-7,,,"System show ""Email không hợp lệ.""",,,,,0|i001lb:,,N4 Sprint 1,,,,,,,,"1. select Quên Mật Khẩu
2. Enter require in field
3. Gửi",,Integration,Pass,,,Done
LI03 - Mật khẩu - Mật khẩu không được để trống,N4-31,10263,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 3:49 PM,05/Jan/23 3:49 PM,05/Jan/23 5:20 PM,05/Jan/23 3:49 PM,,0,Login,Mật khẩu không được để trống,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,,N4-2,,,Mật khẩu không được để trống,,,,,0|i001l3:,,N4 Sprint 1,,,,,,,,"1) Nhập đầy đủ thông tin yêu cầu
2) Không nhập mật khẩu ở form mật khẩu
3) Submit",,Unit,Pass,,,Done
LI02 - Email - Email phải hợp lệ,N4-30,10262,Bug,In Progress,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 3:46 PM,05/Jan/23 5:11 PM,05/Jan/23 5:20 PM,,,0,Login,"Email phải hợp lệ

Test data: !@gmail.com",,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,05/Jan/23 3:46 PM;6057461f9620b5006ad26f53;email1.png;https://lyquanghuy.atlassian.net/secure/attachment/10167/email1.png,05/Jan/23 3:46 PM;6057461f9620b5006ad26f53;email2.png;https://lyquanghuy.atlassian.net/secure/attachment/10168/email2.png,Không như mong đợi,,,,,,,,,,N4-2,,,Email phải hợp lệ,,,,,0|i001kv:,,N4 Sprint 1,,,,,,,,"1) Nhập test data vào form email
2) Nhập đầy đủ thông tin còn lại 
3) Submit",,Unit,Fail,,,In Progress
LI01- Email - Email không được để trống,N4-29,10261,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 3:40 PM,05/Jan/23 3:41 PM,05/Jan/23 5:20 PM,05/Jan/23 3:41 PM,,0,Login,Email không được để trống,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi ,,,,,,,,,,N4-2,,,Email không được để trống,,,,,0|i001kn:,,N4 Sprint 1,,,,,,,,"1) Không nhập email vào form email
2) Nhập thông tin các yêu cầu còn lại
3) Submit
",,Unit,Pass,,,Done
"SU16 - Mật khẩu - Mật khẩu bao gồm cả chữ, số, viết hoa, viết thường và cả những kí tự đặc biệt",N4-28,10260,Bug,In Progress,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 3:31 PM,05/Jan/23 5:12 PM,05/Jan/23 5:20 PM,,,0,SignUp,"Gợi ý cách đặt mật khẩu cho khách hàng. Mật khẩu bao gồm cả chữ, số, viết hoa, viết thường và cả những kí tự đặc biệt để tăng tính bảo mật",,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,05/Jan/23 3:31 PM;6057461f9620b5006ad26f53;dk16.png;https://lyquanghuy.atlassian.net/secure/attachment/10166/dk16.png,,Không như mong đợi ,,,,,,,,,,N4-1,,,"Mật khẩu bao gồm cả chữ, số, viết hoa, viết thường và cả những kí tự đặc biệt",,,,,0|i001kf:,,N4 Sprint 1,,,,,,,,"1) Click chuột vào form
2) Nhập ký tự vào form
",,Unit,Fail,,,In Progress
SU15 - Mật khẩu - Mật khẩu tối thiểu 6 ký tự,N4-27,10259,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 3:20 PM,05/Jan/23 3:56 PM,05/Jan/23 5:20 PM,05/Jan/23 3:20 PM,,0,SignUp,Mật khẩu tối thiểu 6 ký tự,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Mật khẩu quá ngắn (tối thiểu 6 ký tự).,,,,,,,,,,N4-1,,, Mật khẩu tối thiểu 6 ký tự,,,,,0|i001k7:,,N4 Sprint 1,,,,,,,,"1) Nhập đầy đủ thông tin yêu cầu 
2) Ở form mật khẩu nhập ít hơn 6 ký tự 
3) Submit",,Unit,Pass,,,Done
SU14 - Mật khẩu - Mật khẩu không được để trống,N4-26,10258,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 3:11 PM,05/Jan/23 3:35 PM,05/Jan/23 5:20 PM,05/Jan/23 3:11 PM,,0,SignUp, Mật khẩu không được để trống,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,,N4-1,,,Mật khẩu không được để trống,,,,,0|i001jz:,,N4 Sprint 1,,,,,,,,"1) Nhập đầy đủ thông tin yêu cầu
2) Không nhập thông tin ở form mật khẩu
3) Submit",,Unit,Pass,,,Done
SU13 - Email - Ký tự đầu tiên không được để khoảng trắng,N4-25,10257,Bug,In Progress,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 3:04 PM,05/Jan/23 5:12 PM,05/Jan/23 5:20 PM,,,0,SignUp," Ký tự đầu tiên không được để khoảng trắng

Test data: abc123@gmail.com",,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,05/Jan/23 3:04 PM;6057461f9620b5006ad26f53;e13.png;https://lyquanghuy.atlassian.net/secure/attachment/10165/e13.png,,Không như mong đợi,,,,,,,,,,N4-1,,, Ký tự đầu tiên không được để khoảng trắng,,,,,0|i001jr:,,N4 Sprint 1,,,,,,,,"1) Nhập ký tự đầu tiên là dấu cách
2) Nhập test data
3) Ấn tab",,Unit,Fail,,,In Progress
IPF03 - Verify Login - Login is invalid,N4-24,10256,Bug,In Progress,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,,,,Quang Duy Trịnh,617f80be20972200717ca06b,Quang Duy Trịnh,617f80be20972200717ca06b,05/Jan/23 2:57 PM,05/Jan/23 4:14 PM,05/Jan/23 5:20 PM,,,0,LogIn,"if Email is invalid, system  show an error 

Test data

Email: duy123@gmail

Mật Khẩu: Duy123",,Quang Duy Trịnh,617f80be20972200717ca06b,,,,,,,,,,,,,,05/Jan/23 4:14 PM;617f80be20972200717ca06b;login01.png;https://lyquanghuy.atlassian.net/secure/attachment/10169/login01.png,,"System show ""Số điện thoại không hợp lệ.""",,,,,,,,,,N4-2,,,"System show ""Email không hợp lệ""",,,,,0|i001jj:,,N4 Sprint 1,,,,,,,,"1. Enter require all field
2. Đăng nhập",,Integration,Fail,,,In Progress
SU12 - Email - Địa chỉ email không hợp lệ,N4-23,10255,Bug,In Progress,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 2:55 PM,05/Jan/23 5:12 PM,05/Jan/23 5:20 PM,,,0,SignUp,"Địa chỉ email không hợp lệ

Test data: ####@gmail.com",,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,05/Jan/23 2:55 PM;6057461f9620b5006ad26f53;e12.png;https://lyquanghuy.atlassian.net/secure/attachment/10164/e12.png,,Không như mong đợi,,,,,,,,,,N4-1,,,Địa chỉ email không hợp lệ,,,,,0|i001jb:,,N4 Sprint 1,,,,,,,,"1)Nhập test data vào 
2) Ấn tab",,Unit,Fail,,,In Progress
IPF02 - Verify Sign Up - Email existed in system ,N4-22,10254,Story,Done,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,Done,,,Quang Duy Trịnh,617f80be20972200717ca06b,Quang Duy Trịnh,617f80be20972200717ca06b,05/Jan/23 2:50 PM,05/Jan/23 2:52 PM,05/Jan/23 5:20 PM,05/Jan/23 2:50 PM,,0,SignUp,"if same Email existed in system. System show an Error 

Test data

Email: duy123@gmail.com

Mật Khẩu: Duy123",,Quang Duy Trịnh,617f80be20972200717ca06b,,,,,,,,,,,,,,05/Jan/23 2:45 PM;617f80be20972200717ca06b;signup02.png;https://lyquanghuy.atlassian.net/secure/attachment/10163/signup02.png,,"System show ""Email đã tồn tại. Nếu bạn quên mật khẩu, bạn có thể thiết lập lại mật khẩu tại đây.""",,,,,,,,,,N4-1,,,"System show ""Email đã tồn tại""",,,,,0|i001j3:,,N4 Sprint 1,,,,,,,,"1. Enter require all field
2. Đăng kí",,Integration,Pass,,,Done
SU11 - Email - Email không được để trống,N4-21,10253,Bug,In Progress,N4,N4_CD21LM1,software,Huy Ly,6057461f9620b5006ad26f53,,Medium,,,,Huy Ly,6057461f9620b5006ad26f53,Huy Ly,6057461f9620b5006ad26f53,05/Jan/23 2:35 PM,05/Jan/23 5:13 PM,05/Jan/23 5:13 PM,,,0,SignUp,Email không được để trống,,Huy Ly,6057461f9620b5006ad26f53,,,,,,,,,,,,,,05/Jan/23 2:44 PM;6057461f9620b5006ad26f53;dk11.png;https://lyquanghuy.atlassian.net/secure/attachment/10162/dk11.png,,Không như mong đợi,,,,,,,,,,N4-1,,,Email không được để trống,,,,,0|i001iv:,,N4 Sprint 1,,,,,,,,"1) Click chuột vào form
2) Ấn tab",,Unit,Fail,,,In Progress
